id	name_en	name_zhHant	brand	group_en	group_zhHant	basePrice	tier	tierName	category_en	maxItemsPerBox	isStackable	containerClass	boxClass	hasTrueCollider	colX	colY	colZ	trueX	trueY	trueZ
20	Black Coffee	黑咖啡	NarValo	Basic Products	基本產品s	3.35	3	20-25	Basic Products IV	25	False	0	0	False	0.14457385	0.24454005	0.073826	0.1	0.1	0.1
21	Egg Box	蛋盒	Bio	Basic Products	基本產品s	2.26	3	20-25	Basic Products IV	30	True	0	0	False	0.34615928	0.06992889	0.12146637	0.1	0.1	0.1
22	Houmous	侯穆斯	Bibi	Basic Products	基本產品s	1.69	3	20-25	Basic Products IV	30	True	0	0	False	0.17507464	0.09588805	0.17506427	0.1	0.1	0.1
23	White Flour	白麵粉	Sublett	Basic Products	基本產品s	1.79	3	20-25	Basic Products IV	30	False	0	0	False	0.17893803	0.2435627	0.116426826	0.1	0.1	0.1
24	Cane Sugar Box	蔗糖盒	Daron	Basic Products	基本產品s	1.85	3	20-25	Basic Products IV	25	False	0	0	False	0.2093381	0.30600002	0.066594794	0.1	0.1	0.1
25	Sugar	糖	Pablo	Basic Products	基本產品s	1.78	3	20-25	Basic Products IV	40	False	0	0	False	0.12559387	0.19698344	0.07262842	0.1	0.1	0.1
26	Macarroni	馬卡羅尼	Barillo	Basic Products	基本產品s	1.33	4	26-34	Basic Products V	30	False	0	0	False	0.17680901	0.25845066	0.119977385	0.1	0.1	0.1
27	Ecologic Sugar	生態糖	Daron	Basic Products	基本產品s	1.45	4	26-34	Basic Products V	40	False	0	0	False	0.12559387	0.19698344	0.07262842	0.1	0.1	0.1
28	Brown Sugar	紅糖	Daron	Basic Products	基本產品s	2.25	4	26-34	Basic Products V	40	False	0	0	False	0.12559387	0.19698344	0.07262842	0.1	0.1	0.1
29	Sunflower Oil	葵花籽油	Lespieds	Basic Products	基本產品s	9.25	4	26-34	Basic Products V	25	False	0	0	False	0.0803061	0.2596161	0.08030613	0.1	0.1	0.1
30	Mash Potatoes	馬鈴薯泥	Puray	Basic Products	基本產品s	2	4	26-34	Basic Products V	30	False	0	0	False	0.14767778	0.21586804	0.04697937	0.1	0.1	0.1
31	Potato Bag	馬鈴薯袋	Miamm	Basic Products	基本產品s	5.99	4	26-34	Basic Products V	10	False	0	0	False	0.3	0.36	0.33938405	0.1	0.1	0.1
32	Espresso Coffee	濃縮咖啡	NarValo	Basic Products	基本產品s	2.85	4	26-34	Basic Products V	20	False	0	0	False	0.14457385	0.24454005	0.073826	0.1	0.1	0.1
33	Basmati Rice	印度香米	Lustupacru	Basic Products	基本產品s	2.35	4	26-34	Basic Products V	30	False	0	0	False	0.13208261	0.19307181	0.08962737	0.1	0.1	0.1
34	Long Grain Rice	長粒米	Uncle Tony's	Basic Products	基本產品s	2.85	4	26-34	Basic Products V	30	False	0	0	False	0.13208261	0.19307181	0.08962737	0.1	0.1	0.1
35	Coffee	咖啡	NarValo	Basic Products	基本產品s	3.95	5	35-42	Basic Products VI	40	False	0	0	False	0.14457385	0.24454005	0.073826	0.1	0.1	0.1
36	Supreme Pasta	至尊義大利麵	Lustupacru	Basic Products	基本產品s	2.55	5	35-42	Basic Products VI	30	False	0	0	False	0.17680901	0.25845066	0.119977385	0.1	0.1	0.1
37	Chocolate Cereals	巧克力穀物	Racoon	Basic Products	基本產品s	3.99	5	35-42	Basic Products VI	25	False	0	0	False	0.19197002	0.28061223	0.061069675	0.1	0.1	0.1
38	Premium Water	優質水	Fort-lacs	Basic Products	基本產品s	0.95	5	35-42	Basic Products VI	30	False	0	0	False	0.08749385	0.2678936	0.08749385	0.1	0.1	0.1
39	Spring Water	泉水	Flotte	Basic Products	基本產品s	1.2	5	35-42	Basic Products VI	30	False	0	0	False	0.08749385	0.2678936	0.08749385	0.1	0.1	0.1
40	Powdered Sugar	玻璃糖	Boully	Basic Products	基本產品s	2.5	5	35-42	Basic Products VI	30	False	0	0	False	0.11906232	0.2323056	0.119062304	0.1	0.1	0.1
41	Sugar - Big Box	糖 - 大盒	Susu	Basic Products	基本產品s	3.5	5	35-42	Basic Products VI	25	False	0	0	False	0.2093381	0.30600002	0.066594794	0.1	0.1	0.1
42	Brown Sugar - Big Box	黑糖-大盒	Susu	Basic Products	基本產品s	3.6	5	35-42	Basic Products VI	25	False	0	0	False	0.2093381	0.30600002	0.066594794	0.1	0.1	0.1
43	Emmental Cheese	艾門塔爾起司	Mimolette	Dairy Products	乳製品	1.83	6	43-48	Dairy Products I	80	True	1	0	True	0.1	0.031108914	0.185	0.185	0.03110891	0.1
44	Gruyere Cheese	格魯耶爾起司	Mimolette	Dairy Products	乳製品	2.25	6	43-48	Dairy Products I	80	True	1	0	True	0.1	0.031108914	0.185	0.185	0.03110891	0.1
45	Skimmed Cheese	脫脂乳酪	Comte	Dairy Products	乳製品	2.35	6	43-48	Dairy Products I	80	True	1	0	False	0.1	0.031108914	0.185	0.185	0.03110891	0.1
46	Fruit Yoghurt	水果優格	Frugen!	Dairy Products	乳製品	2.6	6	43-48	Dairy Products I	25	True	1	0	True	0.125	0.135	0.15	0.19	0.135	0.15
47	Vanilla Yoghurt	香草優格	Yowp	Dairy Products	乳製品	3.95	6	43-48	Dairy Products I	25	True	1	0	True	0.125	0.135	0.15	0.19	0.135	0.15
48	Milk Brick	乳磚	Bourlait	Dairy Products	乳製品	0.91	6	43-48	Dairy Products I	30	False	0	0	False	0.08712542	0.220872	0.08712542	0.1	0.1	0.1
49	Butter	奶油	Paysans	Dairy Products	乳製品	3.65	7	49-53	Dairy Products II	40	True	1	0	True	0.115	0.036086757	0.06989694	0.06989694	0.03608676	0.115
50	Parmigiano Cheese	帕瑪森起司	Don Bernardo	Dairy Products	乳製品	2.1	7	49-53	Dairy Products II	40	False	1	0	True	0.11917052	0.15868141	0.06	0.06	0.1586814	0.1191705
51	Reggiano Cheese	雷吉亞諾乳酪	Stereoprice	Dairy Products	乳製品	2.7	7	49-53	Dairy Products II	40	False	1	0	True	0.11917052	0.15868141	0.06	0.06	0.1586814	0.1191705
52	Mozzarella Cheese	莫札里拉起司	Don Bernardo	Dairy Products	乳製品	2.9	7	49-53	Dairy Products II	40	False	1	0	True	0.1549002	0.16637115	0.04067575	0.04067575	0.1663712	0.1549002
53	Skimmed Yoghurt	脫脂優格	Madone	Dairy Products	乳製品	3.5	7	49-53	Dairy Products II	25	True	1	0	True	0.125	0.135	0.15	0.19	0.135	0.15
54	Cola Pack	可樂包	PokaBola	Soda Drinks	汽水	1.8	8	54-60	Soda Drinks I	30	True	0	0	False	0.1466213	0.115	0.195	0.1	0.1	0.1
55	Soda Pack	汽水包	Zap-Soda	Soda Drinks	汽水	2.1	8	54-60	Soda Drinks I	30	True	0	0	False	0.1466213	0.115	0.195	0.1	0.1	0.1
56	Decaf Soda Pack	無咖啡因蘇打水包	Soda-Pop	Soda Drinks	汽水	4	8	54-60	Soda Drinks I	30	True	0	0	False	0.1466213	0.115	0.195	0.1	0.1	0.1
57	Soda Bottle	汽水瓶	Zap-Soda	Soda Drinks	汽水	1.5	8	54-60	Soda Drinks I	20	False	1	0	False	0.107463524	0.3182253	0.106897205	0.1	0.1	0.1
58	Cola Bottle	可樂瓶	Koujeima	Soda Drinks	汽水	1.8	8	54-60	Soda Drinks I	20	False	1	0	False	0.0976066	0.31751943	0.09634538	0.1	0.1	0.1
59	Sugar Free Soda Bottle	無糖汽水瓶	Soda-Pop	Soda Drinks	汽水	2.25	8	54-60	Soda Drinks I	20	False	1	0	False	0.0976066	0.31751943	0.09634538	0.1	0.1	0.1
60	Premium Soda	優質蘇打水	BokaBola	Soda Drinks	汽水	3	8	54-60	Soda Drinks I	20	False	1	0	False	0.097372696	0.31908444	0.09748399	0.1	0.1	0.1
61	Pizza Barbaque	披薩燒烤	ChezzyPizz	Frozen Foods	冷凍食品	2.41	9	61-67	Frozen Foods I	30	True	2	0	True	0.02	0.30131656	0.3	0.3	0.3013166	0.02
62	Fondue	火鍋	Prypiat	Frozen Foods	冷凍食品	2.49	9	61-67	Frozen Foods I	20	True	2	0	True	0.07	0.13500002	0.25	0.25	0.135	0.07
63	Crocanti Ham	克羅坎蒂火腿	Ronpoint	Frozen Foods	冷凍食品	2.87	9	61-67	Frozen Foods I	20	True	2	0	True	0.07	0.13500002	0.25	0.25	0.135	0.07
64	Ham Cheese Crepe	火腿起司薄餅	Prypiat	Frozen Foods	冷凍食品	3.35	9	61-67	Frozen Foods I	20	True	2	0	True	0.07	0.13500002	0.25	0.25	0.135	0.07
65	French Fries	薯條	Vandame	Frozen Foods	冷凍食品	4.05	9	61-67	Frozen Foods I	30	True	2	0	True	0.065	0.28923717	0.22	0.22	0.2892372	0.065
66	Crispy Potato Pops	脆皮馬鈴薯棒	Spok	Frozen Foods	冷凍食品	3.99	9	61-67	Frozen Foods I	30	True	2	0	True	0.065	0.28923717	0.22	0.22	0.2892372	0.065
67	Green Beans	綠豆	MrBean	Frozen Foods	冷凍食品	4.5	9	61-67	Frozen Foods I	30	True	2	0	True	0.065	0.28923717	0.22	0.22	0.2892372	0.065
68	Four Cheese Pizza	四芝士披薩	BigTony	Frozen Foods	冷凍食品	2.49	10	68-73	Frozen Foods II	30	True	2	0	True	0.02	0.30131656	0.3	0.3	0.3013166	0.02
69	Four Seasons Pizza	四個季節披薩	Mafia	Frozen Foods	冷凍食品	3.19	10	68-73	Frozen Foods II	30	True	2	0	True	0.02	0.30131656	0.3	0.3	0.3013166	0.02
70	Vegetable Mix	蔬菜混合	Brrr	Frozen Foods	冷凍食品	3.99	10	68-73	Frozen Foods II	30	True	2	0	True	0.065	0.28923717	0.22	0.22	0.2892372	0.065
71	Chicken Mix	雞肉混合料	Brrr	Frozen Foods	冷凍食品	3.79	10	68-73	Frozen Foods II	30	True	2	0	True	0.065	0.28923717	0.22	0.22	0.2892372	0.065
72	Bolognaise Lasagna	博洛尼亞千層麵	Moussaka	Frozen Foods	冷凍食品	3.67	10	68-73	Frozen Foods II	20	True	2	0	True	0.07	0.13500002	0.25	0.25	0.135	0.07
73	Vegetable Lasagna	蔬菜烤寬麵條	Moussaka	Frozen Foods	冷凍食品	3.45	10	68-73	Frozen Foods II	20	True	2	0	True	0.07	0.13500002	0.25	0.25	0.135	0.07
74	Toothpaste	牙膏	Signoulos	Hygiene	衛生	1.99	11	74-79	Hygiene I	100	True	0	0	False	0.20331338	0.044170905	0.0441709	0.1	0.1	0.1
75	Toilet Paper	衛生紙	Petus	Hygiene	衛生	4.6	11	74-79	Hygiene I	8	True	0	0	False	0.27	0.29635888	0.41	0.1	0.1	0.1
76	Hand Soap	洗手液	Pur	Hygiene	衛生	0.99	11	74-79	Hygiene I	30	False	0	0	False	0.06860896	0.1453914	0.06860896	0.1	0.1	0.1
77	Avocado Shampoo	酪梨洗髮精	MaPei	Hygiene	衛生	2.99	11	74-79	Hygiene I	50	False	0	0	False	0.09777045	0.18331493	0.051771507	0.1	0.1	0.1
78	Egg Shampoo	蛋洗髮精	Dope	Hygiene	衛生	3.49	11	74-79	Hygiene I	50	False	0	0	False	0.084970415	0.18959416	0.03943204	0.1	0.1	0.1
79	Bath Gel	沐浴液	MaPei	Hygiene	衛生	2.79	11	74-79	Hygiene I	50	False	0	0	False	0.078455344	0.20662864	0.060303345	0.1	0.1	0.1
80	Toilet Paper	衛生紙	Bidet	Hygiene	衛生	4.6	12	80-84	Hygiene II	8	True	0	0	False	0.27	0.29635888	0.41	0.1	0.1	0.1
81	Mango Soap	芒果肥皂	Sapu	Hygiene	衛生	1.69	12	80-84	Hygiene II	40	False	0	0	False	0.07655027	0.15353245	0.032986037	0.1	0.1	0.1
82	Extra Soft Shampoo	超柔洗髮精	MaPei	Hygiene	衛生	2.25	12	80-84	Hygiene II	40	False	0	0	False	0.084970415	0.18959416	0.03943204	0.1	0.1	0.1
83	Jojoba Honey Shampoo	荷荷巴蜂蜜洗髮精	ImotepBio	Hygiene	衛生	2.59	12	80-84	Hygiene II	40	False	0	0	False	0.084970415	0.18959416	0.03943204	0.1	0.1	0.1
84	Argan Oil Shampoo	摩洛哥堅果油洗髮精	Koyo	Hygiene	衛生	3.99	12	80-84	Hygiene II	40	False	0	0	False	0.084970415	0.18959416	0.03943204	0.1	0.1	0.1
85	Paper Towel	紙巾	Compact	Hygiene	衛生	5.2	13	85-89	Hygiene III	8	True	0	0	False	0.27	0.3013564	0.41	0.1	0.1	0.1
86	Double Side Toilet Paper	雙面衛生紙	Doudou	Hygiene	衛生	2.5	13	85-89	Hygiene III	8	True	0	0	False	0.27	0.29635888	0.41	0.1	0.1	0.1
87	Lemon Soap	檸檬皂	Mouss	Hygiene	衛生	1.25	13	85-89	Hygiene III	40	False	0	0	False	0.07655027	0.15353245	0.032986037	0.1	0.1	0.1
88	Premium Bath Gel	優質沐浴露	MaPei	Hygiene	衛生	2.65	13	85-89	Hygiene III	40	False	0	0	False	0.078455344	0.20662864	0.060303345	0.1	0.1	0.1
89	Shampoo For Babies	嬰兒洗髮精	MaPei	Hygiene	衛生	3.95	13	85-89	Hygiene III	40	False	0	0	False	0.078455344	0.20662864	0.060303345	0.1	0.1	0.1
90	Detergent	洗滌劑	MaPei	Cleaning Products	清潔產品	3.3	14	90-96	Cleaning Products I	30	False	0	0	False	0.26415324	0.36	0.10694243	0.1	0.1	0.1
91	Stain Remover	去污r	Wesh	Cleaning Products	清潔產品	1.9	14	90-96	Cleaning Products I	40	False	0	0	False	0.13223046	0.31895348	0.049189754	0.1	0.1	0.1
92	Glass Cleaner	玻璃清潔劑	Touprop	Cleaning Products	清潔產品	3.6	14	90-96	Cleaning Products I	40	False	0	0	False	0.13223046	0.31895348	0.049189754	0.1	0.1	0.1
93	Detergent Tablets	洗滌劑表	Cemagik	Cleaning Products	清潔產品	6.7	14	90-96	Cleaning Products I	20	True	0	0	False	0.3083284	0.181	0.18858196	0.1	0.1	0.1
94	Dishwasher	洗碗機	Cleandish	Cleaning Products	清潔產品	4.6	14	90-96	Cleaning Products I	20	False	0	0	False	0.29312447	0.3186915	0.09029269	0.1	0.1	0.1
95	Bleach	漂白	JajaVevel	Cleaning Products	清潔產品	1.2	14	90-96	Cleaning Products I	20	False	0	0	False	0.119401395	0.32356763	0.12252432	0.1	0.1	0.1
96	Bleach - Big Bottle	漂白水 - 大瓶	WCBoeff	Cleaning Products	清潔產品	1.9	14	90-96	Cleaning Products I	18	False	0	0	False	0.2594963	0.38555166	0.13130236	0.1	0.1	0.1
97	Softener	柔軟精	Souplesse	Cleaning Products	清潔產品	3.99	15	97-103	Cleaning Products II	30	False	0	0	False	0.26415324	0.36	0.10694243	0.1	0.1	0.1
98	Premium Detergent	優質洗滌劑	Toudou	Cleaning Products	清潔產品	4.5	15	97-103	Cleaning Products II	20	False	0	0	False	0.26415324	0.36	0.10694243	0.1	0.1	0.1
99	Insecticide	殺蟲劑	Kilemol	Cleaning Products	清潔產品	4.1	15	97-103	Cleaning Products II	20	False	0	0	False	0.13223046	0.31895348	0.049189754	0.1	0.1	0.1
100	Cleaning Cloths	清潔布	LeTriangle	Cleaning Products	清潔產品	0.9	15	97-103	Cleaning Products II	50	True	0	0	False	0.2587244	0.05	0.12303601	0.1	0.1	0.1
101	Premium Capsules	高級膠囊	Boum	Cleaning Products	清潔產品	7.8	15	97-103	Cleaning Products II	20	False	0	0	False	0.22573426	0.28775492	0.06262408	0.1	0.1	0.1
102	Premium Bleach	優質漂白劑	JajaVevel	Cleaning Products	清潔產品	2.5	15	97-103	Cleaning Products II	20	False	0	0	False	0.119401395	0.32356763	0.12252432	0.1	0.1	0.1
103	Ammonia	氨	JajaVevel	Cleaning Products	清潔產品	3.1	15	97-103	Cleaning Products II	20	False	0	0	False	0.119401395	0.32356763	0.12252432	0.1	0.1	0.1
104	Cookie Jar	餅乾罐	Delitout	Sweets and Snacks	糖果和零食	3.6	16	104-109	Sweets And Snacks I	50	False	0	0	False	0.09198442	0.13634126	0.091984436	0.1	0.1	0.1
105	Maxi Cone	最大錐體	Delitout	Sweets and Snacks	糖果和零食	3.9	16	104-109	Sweets And Snacks I	20	True	2	0	True	0.19	0.062373944	0.28	0.28	0.06237394	0.19
106	Chocolate Spread	巧克力醬	Patatartine	Sweets and Snacks	糖果和零食	1.99	16	104-109	Sweets And Snacks I	50	False	0	0	False	0.09094037	0.13330445	0.061940387	0.1	0.1	0.1
107	Chocolate Powder	巧克力粉	Boudain	Sweets and Snacks	糖果和零食	2.89	16	104-109	Sweets And Snacks I	20	True	0	0	False	0.16426432	0.14110418	0.057200223	0.1	0.1	0.1
108	Chips	洋芋片	Vin's	Sweets and Snacks	糖果和零食	1	16	104-109	Sweets And Snacks I	40	False	0	0	False	0.16365314	0.27944976	0.07948242	0.1	0.1	0.1
109	Sweet Bonbek	甜本貝克	Bonbek	Sweets and Snacks	糖果和零食	1.9	16	104-109	Sweets And Snacks I	50	False	0	0	False	0.16000003	0.20292704	0.041090436	0.1	0.1	0.1
110	Peach Jam	桃子醬	Delitout	Sweets and Snacks	糖果和零食	2.9	17	110-115	Sweets And Snacks II	50	False	0	0	False	0.0831745	0.14636973	0.08319819	0.1	0.1	0.1
111	Ice Cream Box	冰淇淋盒	Delitout	Sweets and Snacks	糖果和零食	4.5	17	110-115	Sweets And Snacks II	20	True	2	0	True	0.19	0.062373944	0.28	0.28	0.06237394	0.19
112	Chocolate Box	巧克力盒	Chocotte	Sweets and Snacks	糖果和零食	10.9	17	110-115	Sweets And Snacks II	20	False	0	0	False	0.20843019	0.2084302	0.02072959	0.1	0.1	0.1
113	Chocolate Biscuit	巧克力餅乾	Marbre	Sweets and Snacks	糖果和零食	4.8	17	110-115	Sweets And Snacks II	40	True	0	0	False	0.21906777	0.10877223	0.062002227	0.1	0.1	0.1
114	Vanilate Biscuit	香草餅乾	Prairie	Sweets and Snacks	糖果和零食	5.5	17	110-115	Sweets And Snacks II	40	True	0	0	False	0.21906777	0.10877223	0.062002227	0.1	0.1	0.1
115	Madeleine	瑪德琳	StMichmich	Sweets and Snacks	糖果和零食	2.7	17	110-115	Sweets And Snacks II	40	False	0	0	False	0.13090234	0.18	0.050973862	0.1	0.1	0.1
116	Strawberry Jam	草莓醬	Delitout	Sweets and Snacks	糖果和零食	3.9	18	116-121	Sweets And Snacks III	50	False	0	0	False	0.07750994	0.11463593	0.067125596	0.1	0.1	0.1
117	Peanut Butter	花生醬	Delitout	Sweets and Snacks	糖果和零食	3.6	18	116-121	Sweets And Snacks III	50	False	0	0	False	0.09094037	0.13330445	0.061940387	0.1	0.1	0.1
118	Chipos	奇波斯	MacChipos	Sweets and Snacks	糖果和零食	1.99	18	116-121	Sweets And Snacks III	40	False	0	0	False	0.15741535	0.2722036	0.071668245	0.1	0.1	0.1
119	Marshmallow	棉花糖	Bonbek	Sweets and Snacks	糖果和零食	2.99	18	116-121	Sweets And Snacks III	50	False	0	0	False	0.16000003	0.20292704	0.041090436	0.1	0.1	0.1
120	Lemon Biscuit	檸檬餅乾	Gerbe	Sweets and Snacks	糖果和零食	2.45	18	116-121	Sweets And Snacks III	50	False	0	0	False	0.13090234	0.19	0.050973862	0.1	0.1	0.1
121	Hazelnut Biscuit	榛果餅乾	BonPapa	Sweets and Snacks	糖果和零食	2.55	18	116-121	Sweets And Snacks III	50	False	0	0	False	0.13090234	0.19	0.050973862	0.1	0.1	0.1
122	Premium Ice Cream	優質冰淇淋	Extra	Sweets and Snacks	糖果和零食	5.99	19	122-126	Sweets And Snacks IV	20	True	2	0	True	0.19	0.062373944	0.28	0.28	0.06237394	0.19
123	Honey	蜂蜜	Delitout	Sweets and Snacks	糖果和零食	3.99	19	122-126	Sweets And Snacks IV	40	False	0	0	False	0.09094037	0.13330445	0.061940387	0.1	0.1	0.1
124	Premium Chocolate Box	優質巧克力盒	Delitout	Sweets and Snacks	糖果和零食	18.5	19	122-126	Sweets And Snacks IV	20	False	0	0	False	0.20843019	0.2084302	0.02072959	0.1	0.1	0.1
125	Foditos	福迪托斯	Covidos	Sweets and Snacks	糖果和零食	4	19	122-126	Sweets And Snacks IV	45	False	0	0	False	0.15741535	0.2722036	0.071668245	0.1	0.1	0.1
126	Premium Cake	高級蛋糕	Pepites	Sweets and Snacks	糖果和零食	3.8	19	122-126	Sweets And Snacks IV	40	True	0	0	False	0.21906777	0.10877223	0.062002227	0.1	0.1	0.1
127	Chopped Beef	切碎的牛肉	HaveSomeBeef	Meat	肉	3.39	20	127-133	Meat I	20	True	1	0	True	0.19	0.032	0.14857729	0.1485773	0.03200173	0.19
128	Pure Beef	純牛肉	HaveSomeBeef	Meat	肉	4.89	20	127-133	Meat I	20	True	1	0	True	0.19	0.02	0.15	0.15	0.01917384	0.21
129	Veal	小牛肉	HaveSomeBeef	Meat	肉	5.9	20	127-133	Meat I	20	True	1	0	True	0.21	0.02	0.17	0.17	0.02	0.21
130	Chicken Wings	雞翅	HaveSomeBeef	Meat	肉	3.99	20	127-133	Meat I	20	True	1	0	True	0.2287544	0.034	0.16295215	0.1629522	0.03473556	0.2287544
131	Chicken	雞	HaveSomeBeef	Meat	肉	8.99	20	127-133	Meat I	12	False	1	0	True	0.21	0.16769023	0.24302834	0.2430283	0.1676902	0.36
132	Parma Ham	帕瑪火腿	HaveSomeBeef	Meat	肉	3.5	20	127-133	Meat I	20	True	1	0	True	0.23	0.014	0.23	0.27	0.014	0.23
133	Sliced Ham	火腿片	HaveSomeBeef	Meat	肉	2.5	20	127-133	Meat I	20	True	1	0	True	0.19	0.014	0.23	0.27	0.014	0.23
134	Peas - Big	豌豆 - 大	Bio	Preserves	果醬	2.99	21	134-139	Preserves I	40	True	0	0	False	0.12127772	0.115312256	0.119435236	0.1	0.1	0.1
135	Tuna - Big	鮪魚 - 大	Captain Quintus	Preserves	果醬	3.95	21	134-139	Preserves I	40	True	0	0	False	0.12127772	0.115312256	0.119435236	0.1	0.1	0.1
136	Red Beans	雷豆	Bio	Preserves	果醬	1.92	21	134-139	Preserves I	40	True	0	0	False	0.10645921	0.058583263	0.10484186	0.1	0.1	0.1
137	Cat Food	貓食	Purr Purr	Preserves	果醬	5.49	21	134-139	Preserves I	20	False	0	0	False	0.30188286	0.30188286	0.0922603	0.1	0.1	0.1
138	Cat Food	貓食	PatPat	Preserves	果醬	8.1	21	134-139	Preserves I	20	False	0	0	False	0.30188286	0.30188286	0.0922603	0.1	0.1	0.1
139	Dog Food	狗糧	PatPat	Preserves	果醬	7.6	21	134-139	Preserves I	20	False	0	0	False	0.26275566	0.3	0.14307383	0.1	0.1	0.1
140	Green Tea	綠茶	Bio	Infusions	點滴	2.99	22	140-145	Infusions I	40	False	0	0	False	0.09499193	0.1086277	0.079992235	0.1	0.1	0.1
141	Lemon Tea	檸檬茶	Bio	Infusions	點滴	3.49	22	140-145	Infusions I	40	False	0	0	False	0.07500003	0.11000001	0.07500002	0.1	0.1	0.1
142	Black Tea	紅茶	Bio	Infusions	點滴	3.89	22	140-145	Infusions I	40	False	0	0	False	0.073000595	0.10000003	0.073000595	0.1	0.1	0.1
143	Peppermint	薄荷	Bio	Infusions	點滴	1.99	22	140-145	Infusions I	30	False	0	0	False	0.17893806	0.24332128	0.09509331	0.1	0.1	0.1
144	Mint	薄荷	Bio	Infusions	點滴	2.19	22	140-145	Infusions I	30	False	0	0	False	0.17893806	0.24332128	0.09509331	0.1	0.1	0.1
145	Valerian	纈草	Bio	Infusions	點滴	1.89	22	140-145	Infusions I	30	False	0	0	False	0.17893806	0.24332128	0.09509331	0.1	0.1	0.1
146	Big Sushi	纈草	Sushinet	Seafood	海鮮	19.99	23	146-149	Seafood I	20	True	1	0	False	0.40415335	0.06908515	0.3616063	0.1	0.1	0.1
147	Small Sushi	小壽司	Sushinet	Seafood	海鮮	13.99	23	146-149	Seafood I	30	True	1	0	False	0.23	0.048778713	0.21	0.1	0.1	0.1
148	Smoked Salmon	煙燻鮭魚n	Norway	Seafood	海鮮	9.99	23	146-149	Seafood I	40	True	1	0	True	0.215	0.015	0.22774097	0.227741	0.01358879	0.28
